index,trading_date,total_turnover,basis_spread,volume,low,close,open,limit_up,limit_down,open_interest,high
2014-12-05 09:15:00,2014-12-05,15989464000.0,,326614.0,486.681,487.681,493.639,508.697,470.449,1583862.0,493.639
2014-12-05 09:30:00,2014-12-05,6246193600.0,,128398.0,485.677,485.714,487.68,508.674,470.443,1603432.0,487.681
2014-12-05 09:45:00,2014-12-05,5742253000.0,,118262.0,484.438,485.978,485.711,508.651,470.437,1614940.0,487.93
2014-12-05 10:00:00,2014-12-05,5810565000.0,,118956.0,485.981,487.934,485.981,508.661,470.444,1615614.0,490.618
2014-12-05 10:15:00,2014-12-05,1624535200.0,,33348.0,485.975,486.656,487.934,508.655,470.439,1623214.0,488.613
2014-12-05 10:45:00,2014-12-05,2092323000.0,,42974.0,485.655,486.915,486.655,508.644,470.43,1624158.0,487.649
2014-12-05 11:00:00,2014-12-05,496597200.0,,10226.0,485.699,485.915,485.966,508.635,470.429,1623554.0,486.915
2014-12-05 11:15:00,2014-12-05,2754485200.0,,56490.0,485.915,488.33,486.183,508.64,470.427,1620182.0,488.868
2014-12-05 11:30:00,2014-12-05,1752255200.0,,35882.0,486.911,487.911,487.917,508.637,470.421,1607952.0,489.543
2014-12-05 13:45:00,2014-12-05,2922351600.0,,59914.0,486.909,488.906,487.91,508.627,470.414,1600374.0,488.906
2014-12-05 14:00:00,2014-12-05,7092051400.0,,144868.0,488.631,489.85,489.584,508.622,470.397,1563932.0,491.521
2014-12-05 14:15:00,2014-12-05,1533528800.0,,31278.0,488.897,490.551,490.571,508.61,470.377,1564494.0,490.849
2014-12-05 14:30:00,2014-12-05,3140377400.0,,63930.0,488.562,490.563,489.933,508.585,470.335,1562290.0,491.549
2014-12-05 14:45:00,2014-12-05,3155839000.0,,64340.0,489.834,489.834,490.84,508.539,470.322,1543162.0,491.511
2014-12-05 15:00:00,2014-12-05,4846092200.0,,98804.0,488.866,490.525,490.5,508.53,470.291,1508698.0,491.487
2014-12-08 09:15:00,2014-12-08,15941045600.0,,323144.0,489.187,493.93,489.187,506.924,468.803,1546794.0,495.256
2014-12-08 09:30:00,2014-12-08,7940981800.0,,160578.0,492.252,493.19,493.927,506.918,468.802,1536412.0,495.762
2014-12-08 09:45:00,2014-12-08,3742529400.0,,75718.0,492.193,492.911,493.189,506.908,468.802,1533422.0,494.527
2014-12-08 10:00:00,2014-12-08,695737200.0,,14096.0,492.911,492.911,493.86,506.909,468.806,1532208.0,494.142
